Date,Open,High,Low,Close,Adj_Close,Volume,FilterYear,Year
2/1/62,6.978967,7.151052,6.781389,6.845124,1.514507,6087720,1,1962
3/1/62,6.870618,7.087317,6.759082,6.79095,1.502726,5687625,0,1962
4/1/62,6.787763,6.787763,5.736138,5.787126,1.280596,13516935,0,1962
5/1/62,5.787126,6.24283,4.525175,5.003187,1.107123,51659325,0,1962
6/1/62,4.984066,4.984066,3.824092,4.32441,0.957072,71679765,0,1962
7/1/62,4.32441,5.015934,4.31485,4.933078,1.091782,43014135,0,1962
8/1/62,4.920331,5.286807,4.722753,5.050988,1.117877,43351470,0,1962
9/1/62,5.050988,5.117909,4.44232,4.506055,0.997471,34800420,0,1962
10/1/62,4.506055,4.738687,4.104525,4.410453,0.976307,45014610,0,1962
11/1/62,4.410453,5.121096,4.359465,5.079669,1.124447,38424810,0,1962
12/1/62,5.028681,5.175271,4.86297,4.971319,1.100693,22978005,0,1962
1/1/63,4.971319,5.41109,4.898024,5.40153,1.195945,29920830,0,1963
2/1/63,5.40153,5.41587,5.086042,5.095602,1.128211,13854270,1,1963
3/1/63,5.095602,5.395156,5.063735,5.366475,1.188468,12771660,0,1963
4/1/63,5.366475,6.048438,5.321861,5.911409,1.309149,19118265,0,1963
5/1/63,5.911409,6.099426,5.83174,6.083493,1.347259,11987160,0,1963
6/1/63,6.083493,6.102613,5.506692,5.560867,1.231786,13516935,0,1963
7/1/63,5.560867,5.710644,5.42065,5.53856,1.226845,17596335,0,1963
8/1/63,5.53856,5.857234,5.481198,5.669216,1.255786,14591700,0,1963
9/1/63,5.677183,5.97833,5.677183,5.761632,1.276548,19008435,0,1963
10/1/63,5.761632,6.395793,5.717017,6.297004,1.395166,25629615,0,1963
11/1/63,6.297004,6.319312,5.876354,6.185468,1.370455,13140375,0,1963
12/1/63,6.220523,6.494583,6.035692,6.462715,1.432248,13697370,0,1963
1/1/64,6.500956,7.227533,6.469089,6.908859,1.531122,23401635,0,1964
2/1/64,6.908859,7.34863,6.806883,7.253027,1.607395,11900865,1,1964
3/1/64,7.253027,7.578075,7.087317,7.574888,1.679111,12340185,0,1964
4/1/64,7.584449,7.667304,7.268961,7.268961,1.611297,13446330,0,1964
5/1/64,7.278521,7.871256,7.278521,7.648184,1.695359,11055174,0,1964
6/1/64,7.648184,7.703952,7.345443,7.600382,1.685193,9049992,0,1964
7/1/64,7.628266,7.839388,7.329509,7.361377,1.632198,9734076,0,1964
8/1/64,7.361377,7.361377,6.779796,7.018802,1.556241,12112680,0,1964
9/1/64,7.018802,7.106437,6.564691,6.955067,1.542529,12382548,0,1964
10/1/64,6.955067,6.955067,6.612492,6.692161,1.484222,7970520,0,1964
11/1/64,6.688177,6.923199,6.572658,6.572658,1.457717,8886816,0,1964
12/1/64,6.556724,6.660293,6.485022,6.524857,1.447546,8792676,0,1964
1/1/65,6.524857,7.170172,6.437221,7.146272,1.585407,11842812,0,1965
2/1/65,7.130338,7.2837,6.771829,7.261791,1.611037,8334528,1,1965
3/1/65,7.261791,7.48088,7.138305,7.23789,1.606274,7568856,0,1965
4/1/65,7.249841,7.727852,7.249841,7.727852,1.71501,6721596,0,1965
5/1/65,7.711918,7.831421,7.329509,7.616316,1.690256,5981028,0,1965
6/1/65,7.584449,7.608349,6.971001,7.297642,1.620038,15175368,0,1965
7/1/65,7.297642,7.63225,7.249841,7.63225,1.694319,8303148,0,1965
8/1/65,7.63225,8.028601,7.556565,7.950924,1.765064,9809388,0,1965
9/1/65,7.950924,8.241714,7.93499,8.166029,1.813385,7619064,0,1965
10/1/65,8.138145,8.49267,8.018642,8.49267,1.885921,7405680,0,1965
11/1/65,8.49267,8.827279,8.3174,8.365201,1.857615,4788588,0,1965
12/1/65,8.365201,8.409018,7.875239,7.950924,1.766117,13537332,0,1965
1/1/66,7.927024,8.181963,7.520714,7.903123,1.755497,13254912,0,1966
2/1/66,7.903123,8.361217,7.775653,8.205864,1.822746,8403564,1,1966
3/1/66,8.205864,8.365201,7.879222,8.221797,1.82683,9583452,0,1966
4/1/66,8.221797,8.954748,8.18993,8.883047,1.973754,7675548,0,1966
5/1/66,8.883047,8.938815,8.221797,8.669933,1.926403,10993460,0,1966
6/1/66,8.520554,8.75956,7.946941,8.377151,1.861905,14392960,0,1966
7/1/66,8.418977,8.640057,8.14412,8.14412,1.810111,6309472,0,1966
8/1/66,8.14412,8.383126,7.319551,7.660134,1.70254,10916056,0,1966
9/1/66,7.660134,8.090344,7.325526,7.588432,1.687145,10506024,0,1966
10/1/66,7.588432,8.003705,6.919216,7.93499,1.764197,12070840,0,1966
11/1/66,7.991754,9.010516,7.991754,8.986616,1.998006,10539496,0,1966
12/1/66,8.986616,9.225621,8.675908,8.879063,1.974723,7296896,0,1966
1/1/67,8.879063,9.703633,8.663958,9.548279,2.123558,11129440,0,1967
2/1/67,9.416826,10.402725,9.333174,10.277247,2.285684,7070960,1,1967
3/1/67,10.336998,11.018164,10.325048,10.779159,2.397968,7376392,0,1967
4/1/67,10.695507,11.926386,10.444551,11.866635,2.639894,8606488,0,1967
5/1/67,11.591778,11.591778,10.946463,11.143642,2.479053,8506072,0,1967
6/1/67,11.143642,12.213193,11.077916,11.890535,2.645795,10062520,0,1967
7/1/67,11.890535,12.177342,11.66348,12.135516,2.700308,6535408,0,1967
8/1/67,12.135516,12.296845,11.597753,11.944312,2.657762,5895256,0,1967
9/1/67,11.944312,13.32457,11.914436,13.103489,2.916325,7384760,0,1967
10/1/67,13.097514,14.352294,12.93021,14.18499,3.157021,6974728,0,1967
11/1/67,14.077438,14.830306,13.563576,14.627151,3.255431,9920264,0,1967
12/1/67,14.627151,15.487572,14.57935,14.98566,3.34153,6807368,0,1967
1/1/68,14.98566,14.991635,14.071463,14.208891,3.168323,10861664,0,1968
2/1/68,14.208891,14.388145,13.587476,13.862333,3.09105,11108520,1,1968
3/1/68,13.862333,14.651052,13.384321,14.639101,3.271393,12464136,0,1968
4/1/68,14.949809,16.192638,14.937859,16.192638,3.618562,11627336,0,1968
5/1/68,16.228489,17.06501,15.41587,17.06501,3.813507,12288408,0,1968
6/1/68,17.638622,17.92543,16.491396,16.909657,3.785861,11144084,0,1968
7/1/68,16.909657,17.447418,15.583174,16.192638,3.625331,9826124,0,1968
8/1/68,16.192638,16.563099,15.774379,16.013384,3.585199,7715296,0,1968
9/1/68,16.013384,16.324093,15.774379,16.013384,3.592108,6497752,0,1968
10/1/68,15.798279,15.917782,14.555449,14.674952,3.29187,18453532,0,1968
11/1/68,14.722753,16.001434,14.698853,15.953633,3.578706,11388848,0,1968
12/1/68,15.953633,16.001434,14.818356,15.057361,3.377655,8914012,0,1968
1/1/69,15.057361,15.069312,14.101338,14.16109,3.1766,15895016,0,1969
2/1/69,14.16109,14.842256,14.017686,14.023662,3.145777,9951644,1,1969
3/1/69,14.023662,15.081262,13.945985,15.00956,3.376032,7957968,0,1969
4/1/69,15.00956,15.786329,14.5913,15.678776,3.526555,8087672,0,1969
5/1/69,15.678776,16.007408,15.212715,15.248566,3.429793,7583500,0,1969
6/1/69,15.248566,16.228489,14.710803,16.144836,3.640333,10413976,0,1969
7/1/69,16.144836,17.423517,14.818356,15.511472,3.497521,18104168,0,1969
8/1/69,15.583174,16.766253,15.559273,16.491396,3.718475,12271672,0,1969
9/1/69,16.491396,17.220364,15.82218,16.503345,3.732671,10836560,0,1969
10/1/69,16.503345,17.447418,16.25239,17.232313,3.897544,12771660,0,1969
11/1/69,17.208412,17.626673,16.455545,17.06501,3.859705,8723640,0,1969
12/1/69,17.136711,17.54302,16.742352,17.423517,3.951756,12098036,0,1969
1/1/70,17.423517,18.499044,15.977533,16.022346,3.633961,15855268,0,1970
2/1/70,16.108988,16.969406,16.001434,16.264339,3.688848,12867892,1,1970
3/1/70,16.264339,16.300192,15.069312,16.180689,3.669875,16723448,0,1970
4/1/70,16.180689,16.276291,13.683078,14.244742,3.230788,19568568,0,1970
5/1/70,14.244742,14.292543,11.328872,13.288719,3.01396,31055740,0,1970
6/1/70,13.288719,13.718929,11.950287,11.950287,2.721354,22302812,0,1970
7/1/70,11.950287,12.547801,11.567878,12.057839,2.745848,19020464,0,1970
8/1/70,12.039914,12.978011,10.456501,12.727055,2.912026,23237936,0,1970
9/1/70,12.679254,14.125239,12.392447,13.945985,3.190924,17926348,0,1970
10/1/70,13.945985,14.806405,13.527725,14.053537,3.215533,13786280,0,1970
11/1/70,14.053537,14.770554,13.790631,14.686902,3.374013,14641908,0,1970
12/1/70,14.686902,15.332218,14.639101,15.188815,3.489319,16589560,0,1970
1/1/71,15.141013,15.666826,14.818356,15.559273,3.574424,14545676,0,1971
2/1/71,15.559273,16.419695,15.535373,16.085087,3.695216,11677544,1,1971
3/1/71,16.085087,17.483271,16.001434,17.088909,3.941328,12838604,0,1971
4/1/71,17.088909,17.399618,16.6826,17.100861,3.944085,17342680,0,1971
5/1/71,16.969406,16.993307,15.535373,15.630975,3.605073,13449468,0,1971
6/1/71,15.654876,15.84608,14.722753,15.152964,3.507791,22139636,0,1971
7/1/71,15.152964,15.260516,13.874283,13.922084,3.222853,23455504,0,1971
8/1/71,13.993786,15.296367,13.539675,14.531549,3.36394,17817564,0,1971
9/1/71,14.531549,14.961759,14.292543,14.519598,3.376467,13413904,0,1971
10/1/71,14.543499,15.069312,14.125239,14.364245,3.34034,15453604,0,1971
11/1/71,14.340344,14.651052,13.778681,14.60325,3.39592,13968284,0,1971
12/1/71,14.651052,16.658701,14.651052,16.085087,3.756783,18238056,0,1971
1/1/72,16.085087,17.782026,15.858031,17.590822,4.108452,19874000,0,1972
2/1/72,17.590822,17.92543,17.423517,17.614723,4.114036,10462092,1,1972
3/1/72,17.662523,18.451242,17.49522,18.27199,4.28303,14187944,0,1972
4/1/72,18.27199,19.108509,18.128586,18.451242,4.325045,11823984,0,1972
5/1/72,18.451242,19.407267,18.009083,19.012905,4.456701,13922260,0,1972
6/1/72,19.072659,19.168261,18.499044,18.73805,4.407975,9761272,0,1972
7/1/72,18.785851,19.383366,18.331739,19.156309,4.506367,11920216,0,1972
8/1/72,19.216061,20.399139,19.216061,19.52677,4.593514,15531008,0,1972
9/1/72,19.52677,19.586519,18.7978,19.431166,4.586161,9782192,0,1972
10/1/72,19.431166,19.496893,17.280115,18.427341,4.349236,20899080,0,1972
11/1/72,18.451242,18.857553,17.734226,18.690248,4.411292,13585448,0,1972
12/1/72,18.690248,19.359465,18.403442,19.216061,4.551521,12892996,0,1972
1/1/73,19.335564,21.438814,19.335564,20.8174,4.930812,19771492,0,1973
2/1/73,20.8174,21.821224,20.00478,20.626196,4.885529,15085412,1,1973
3/1/73,20.626196,21.498566,20.052582,20.626196,4.901201,15687908,0,1973
4/1/73,20.626196,20.853251,19.18021,19.502869,4.634277,14072884,0,1973
5/1/73,19.670172,20.327438,18.236137,18.806765,4.468866,19967721,0,1973
6/1/73,18.76195,19.927103,18.283939,18.941204,4.515724,13777075,0,1973
7/1/73,18.76195,19.32959,17.626673,18.791826,4.480108,16038108,0,1973
8/1/73,18.791826,18.806765,17.761114,17.985182,4.2878,12064981,0,1973
9/1/73,17.955305,17.955305,14.967734,15.41587,3.688671,24951701,0,1973
10/1/73,15.400932,17.626673,14.639101,16.745338,4.006779,22468082,0,1973
11/1/73,16.745338,17.327915,15.714627,15.83413,3.788752,15671591,0,1973
12/1/73,15.819192,15.953633,14.049056,14.743666,3.54216,16538512,0,1973
1/1/74,14.743666,15.027486,13.444073,14.654039,3.520631,16662363,0,1974
2/1/74,14.609226,14.609226,13.444073,14.213372,3.414759,10454981,1,1974
3/1/74,14.213372,15.176864,13.832457,14.086401,3.402651,12925213,0,1974
4/1/74,14.086401,14.489723,13.070626,13.578513,3.279969,12059962,0,1974
5/1/74,13.578513,13.862333,12.525394,12.69718,3.067078,12237364,0,1974
6/1/74,12.69718,13.862333,12.547801,12.712118,3.088014,11527756,0,1974
7/1/74,12.712118,13.376852,11.726219,12.047383,2.926534,17356905,0,1974
8/1/74,12.047383,12.846558,11.248207,11.472275,2.786831,21085687,0,1974
9/1/74,11.472275,11.502151,8.992591,9.500478,2.324076,26824462,0,1974
10/1/74,9.500478,11.771033,9.216659,11.30049,2.76441,31492132,0,1974
11/1/74,11.30049,11.950287,9.963552,10.590942,2.590835,22138381,0,1974
12/1/74,10.486377,10.493846,9.567698,10.038241,2.474579,21400322,0,1974
1/1/75,10.053179,11.4424,9.395913,11.248207,2.772855,36449334,0,1975
2/1/75,11.248207,13.205067,11.188456,12.876434,3.174237,31800075,1,1975
3/1/75,12.90631,13.429135,12.144479,12.34614,3.066526,23673073,0,1975
4/1/75,12.34614,12.988468,11.726219,12.540332,3.114758,26198535,0,1975
5/1/75,12.540332,13.585982,12.308795,12.846558,3.190819,24220338,0,1975
6/1/75,12.966061,13.130378,12.129541,12.48805,3.123837,19838855,0,1975
7/1/75,12.48805,12.592615,11.337835,11.36771,2.843589,24868022,0,1975
8/1/75,11.36771,11.397586,10.516252,11.128705,2.783803,18391191,0,1975
9/1/75,11.128705,11.726219,10.613348,11.248207,2.840418,19480705,0,1975
10/1/75,11.248207,12.891372,10.94945,12.682242,3.202544,32856115,0,1975
11/1/75,12.682242,13.5337,12.607553,13.526231,3.415671,20941756,0,1975
12/1/75,13.526231,13.578513,12.41336,13.399259,3.41157,21007025,0,1975
1/1/76,13.399259,15.520435,13.346977,15.400932,3.921215,38363934,0,1976
2/1/76,15.400932,15.804254,15.042424,15.27396,3.888885,25853773,1,1976
3/1/76,15.27396,15.886413,15.191802,15.654876,4.012495,25524075,0,1976
4/1/76,15.654876,16.32708,15.079768,15.13952,3.880405,29654519,0,1976
5/1/76,15.102175,15.505497,14.654039,15.333712,3.930176,19733416,0,1976
6/1/76,15.326243,16.663181,15.057361,16.536209,4.268265,29299715,0,1976
7/1/76,16.536209,16.752808,16.013384,16.259859,4.196935,26973411,0,1976
8/1/76,16.259859,16.775215,15.998446,16.349485,4.220071,20933390,0,1976
9/1/76,16.349485,17.238289,16.32708,16.812559,4.375165,25662984,0,1976
10/1/76,16.812559,16.924595,15.117113,16.237452,4.225505,35373208,0,1976
11/1/76,16.237452,16.461519,15.385994,16.192638,4.213844,27272988,0,1976
12/1/76,16.192638,16.849903,15.819192,16.67812,4.376926,28834453,0,1976
1/1/77,16.521273,16.760277,15.90135,16.446583,4.316165,33940607,0,1977
2/1/77,16.446583,16.60343,15.893881,16.491396,4.327927,26936592,1,1977
3/1/77,16.498865,17.096378,16.476458,16.521273,4.375654,39602396,0,1977
4/1/77,16.521273,16.685589,15.326243,15.460684,4.09476,38543008,0,1977
5/1/77,15.460684,15.759441,14.609226,14.668977,3.885073,31995883,0,1977
6/1/77,14.698853,16.065666,14.698853,15.774379,4.217951,33870318,0,1977
7/1/77,15.76691,16.461519,15.41587,16.020853,4.283856,28499735,0,1977
8/1/77,16.020853,16.25239,15.76691,16.035791,4.287853,23708217,0,1977
9/1/77,16.035791,16.073135,15.251554,15.595124,4.20903,22869742,0,1977
10/1/77,15.595124,15.684751,15.184333,15.371056,4.148554,27910627,0,1977
11/1/77,15.371056,16.088074,14.878107,15.774379,4.257407,38069378,0,1977
12/1/77,15.774379,16.446583,15.490559,16.342016,4.454151,33480370,0,1977
1/1/78,16.043261,16.312141,15.774379,15.864006,4.323866,40991483,0,1978
2/1/78,15.864006,15.916288,14.952796,15.012548,4.091794,29135700,1,1978
3/1/78,15.012548,15.087237,14.056525,14.071463,3.877717,52223014,0,1978
4/1/78,14.116276,15.893881,14.026649,15.893881,4.379927,63170035,0,1978
5/1/78,15.893881,16.058199,15.41587,15.430808,4.252316,40624965,0,1978
6/1/78,15.430808,16.506334,15.296367,15.371056,4.282701,38914547,0,1978
7/1/78,15.371056,16.820028,15.236616,16.790154,4.678091,41199008,0,1978
8/1/78,16.790154,17.970243,16.67065,17.439951,4.859141,52507525,0,1978
9/1/78,17.447418,18.194311,16.342016,16.551147,4.657279,34456078,0,1978
10/1/78,16.551147,17.537046,15.744503,15.789316,4.44291,47285896,0,1978
11/1/78,15.849068,16.521273,15.296367,16.10301,4.53118,41583939,0,1978
12/1/78,16.170233,18.522945,16.095543,17.835802,5.074064,48114327,0,1978
1/1/79,17.835802,18.896391,17.596798,18.448256,5.248304,50077460,0,1979
2/1/79,18.448256,18.582697,17.753645,17.92543,5.099566,29010182,1,1979
3/1/79,17.92543,19.165272,17.843271,18.851578,5.424524,35334716,0,1979
4/1/79,18.851578,19.239962,18.298878,18.776888,5.403034,36226745,0,1979
5/1/79,18.776888,19.210087,18.059872,18.164436,5.2268,31448617,0,1979
6/1/79,18.254063,18.76195,17.238289,17.537046,5.101148,33091255,0,1979
7/1/79,17.537046,18.343691,16.25239,16.67065,4.849132,36772338,0,1979
8/1/79,16.67065,17.327915,16.312141,16.730402,4.866512,38553470,0,1979
9/1/79,16.700525,17.059034,15.714627,16.192638,4.768049,37127560,0,1979
10/1/79,16.162764,16.610899,14.609226,14.907983,4.389773,48039850,0,1979
11/1/79,14.907983,16.013384,14.609226,15.595124,4.592105,35448104,0,1979
